timestamp,open,high,low,close,volume
2026-05-15T04:00:00+00:00,2273.35,2273.91,2262.74,2263.33,5390.7915
2026-05-15T05:00:00+00:00,2263.33,2267.0,2237.95,2245.41,25297.9003
2026-05-15T06:00:00+00:00,2245.4,2256.92,2243.8,2255.35,8254.6943
2026-05-15T07:00:00+00:00,2255.36,2271.64,2253.63,2265.11,11363.6377
2026-05-15T08:00:00+00:00,2265.11,2265.42,2250.0,2257.56,10928.0066
2026-05-15T09:00:00+00:00,2257.56,2260.0,2250.82,2254.5,5542.7633
2026-05-15T10:00:00+00:00,2254.5,2264.49,2252.35,2262.44,7868.504
2026-05-15T11:00:00+00:00,2262.44,2263.95,2257.26,2257.57,6432.378
2026-05-15T12:00:00+00:00,2257.56,2260.72,2251.14,2254.29,7355.9121
2026-05-15T13:00:00+00:00,2254.29,2254.29,2210.31,2213.68,42412.9939
2026-05-15T14:00:00+00:00,2213.69,2223.79,2205.11,2213.35,36623.717
2026-05-15T15:00:00+00:00,2213.35,2223.96,2209.79,2222.85,11937.2392
2026-05-15T16:00:00+00:00,2222.86,2231.11,2218.9,2224.59,11576.2953
2026-05-15T17:00:00+00:00,2224.59,2232.88,2224.26,2229.47,8834.4347
2026-05-15T18:00:00+00:00,2229.47,2232.86,2224.97,2228.36,6715.7959
2026-05-15T19:00:00+00:00,2228.35,2228.42,2222.27,2223.35,5728.0131
2026-05-15T20:00:00+00:00,2223.35,2226.13,2216.99,2220.14,6208.4965
2026-05-15T21:00:00+00:00,2220.13,2225.08,2215.0,2216.99,5279.6243
2026-05-15T22:00:00+00:00,2217.0,2225.01,2216.99,2224.18,5017.0896
2026-05-15T23:00:00+00:00,2224.18,2226.29,2222.88,2224.66,2821.2446
2026-05-16T00:00:00+00:00,2224.65,2231.51,2223.81,2227.0,3301.8064
2026-05-16T01:00:00+00:00,2226.99,2230.85,2223.53,2229.62,2980.2852
2026-05-16T02:00:00+00:00,2229.62,2231.5,2227.0,2229.91,2565.1592
2026-05-16T03:00:00+00:00,2229.91,2230.64,2227.11,2228.01,2329.581
2026-05-16T04:00:00+00:00,2228.0,2228.96,2218.35,2225.98,4171.0714
2026-05-16T05:00:00+00:00,2225.99,2227.13,2222.69,2225.37,2311.4552
2026-05-16T06:00:00+00:00,2225.38,2226.89,2209.7,2215.45,8055.167
2026-05-16T07:00:00+00:00,2215.46,2215.81,2182.0,2194.81,38322.888
2026-05-16T08:00:00+00:00,2194.81,2196.87,2192.01,2193.26,6028.1463
2026-05-16T09:00:00+00:00,2193.26,2193.85,2162.6,2173.57,27888.7843
2026-05-16T10:00:00+00:00,2173.57,2175.0,2162.55,2173.85,18882.4485
2026-05-16T11:00:00+00:00,2173.85,2181.0,2173.85,2176.1,13389.521
2026-05-16T12:00:00+00:00,2176.11,2179.26,2173.18,2176.5,8013.1897
2026-05-16T13:00:00+00:00,2176.5,2180.0,2172.3,2177.12,8775.7986
2026-05-16T14:00:00+00:00,2177.12,2188.16,2173.51,2179.93,11130.7609
2026-05-16T15:00:00+00:00,2179.92,2183.79,2176.9,2180.0,10245.234
2026-05-16T16:00:00+00:00,2180.0,2183.52,2170.5,2174.11,13727.5761
2026-05-16T17:00:00+00:00,2174.11,2180.79,2174.11,2178.91,3445.3575
2026-05-16T18:00:00+00:00,2178.91,2185.22,2176.36,2181.35,3877.5329
2026-05-16T19:00:00+00:00,2181.35,2182.77,2179.23,2179.57,2125.662
2026-05-16T20:00:00+00:00,2179.57,2182.9,2179.57,2181.45,1871.6178
2026-05-16T21:00:00+00:00,2181.45,2183.54,2180.94,2182.39,1877.715
2026-05-16T22:00:00+00:00,2182.39,2183.28,2179.77,2180.47,1852.3298
2026-05-16T23:00:00+00:00,2180.46,2183.03,2179.35,2180.77,2119.4883
2026-05-17T00:00:00+00:00,2180.77,2185.6,2174.08,2177.59,4798.1136
2026-05-17T01:00:00+00:00,2177.6,2183.6,2167.98,2169.18,9613.5951
2026-05-17T02:00:00+00:00,2169.17,2176.25,2169.17,2174.5,3805.4705
2026-05-17T03:00:00+00:00,2174.51,2184.5,2174.26,2181.7,4100.2657
2026-05-17T04:00:00+00:00,2181.71,2190.37,2181.14,2187.61,5607.1694
2026-05-17T05:00:00+00:00,2187.61,2195.0,2185.63,2185.91,4862.8971
2026-05-17T06:00:00+00:00,2185.91,2188.0,2181.7,2185.02,3780.4218
2026-05-17T07:00:00+00:00,2185.02,2188.49,2182.53,2186.64,3050.4999
2026-05-17T08:00:00+00:00,2186.63,2187.06,2183.12,2185.95,2632.7465
2026-05-17T09:00:00+00:00,2185.95,2191.38,2185.91,2190.23,2889.1747
2026-05-17T10:00:00+00:00,2190.22,2198.14,2190.22,2194.28,5616.8575
2026-05-17T11:00:00+00:00,2194.29,2194.72,2188.0,2192.0,4451.9991
2026-05-17T12:00:00+00:00,2192.0,2198.04,2191.34,2194.3,3964.1553
2026-05-17T13:00:00+00:00,2194.3,2194.93,2187.29,2192.12,4823.5227
2026-05-17T14:00:00+00:00,2192.12,2192.39,2178.39,2186.64,6752.4117
2026-05-17T15:00:00+00:00,2186.64,2188.84,2181.2,2186.51,3341.197
